일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2004년 10월 13일 09시,0,14.4,143.9,994,20,72,185,약,소형,서북서,30,null
2004년 10월 13일 09시,24,16.5,138.7,988,26,94,null,중,null,null,null,150
2004년 10월 13일 09시,48,18.9,135.2,982,31,112,null,중,null,null,null,250
2004년 10월 13일 09시,72,22.1,133.2,null,null,null,null,null,null,null,null,400
2004년 10월 14일 09시,0,13.8,138.3,980,28,101,370,중,중형,서,13,null
2004년 10월 14일 09시,24,14.8,136,970,35,126,null,강,null,null,null,150
2004년 10월 14일 09시,48,17,133.8,960,39,140,null,강,null,null,null,250
2004년 10월 14일 09시,72,19.4,131.9,null,null,null,null,null,null,null,null,400
2004년 10월 15일 09시,0,14.5,135.7,955,39,140,520,강,대형,북서,10,null
2004년 10월 15일 09시,24,16.2,133.5,945,43,155,null,강,null,null,null,150
2004년 10월 15일 09시,48,17.9,131.4,945,43,155,null,강,null,null,null,250
2004년 10월 15일 09시,72,20.3,129.3,null,null,null,null,null,null,null,null,400
2004년 10월 16일 09시,0,16.5,133.9,955,39,140,680,강,대형,북북서,12,null
2004년 10월 16일 09시,24,18.6,131.7,950,43,155,null,강,null,null,null,150
2004년 10월 16일 09시,48,20.5,128.4,950,43,155,null,강,null,null,null,250
2004년 10월 16일 09시,72,22.9,125.7,null,null,null,null,null,null,null,null,400
2004년 10월 17일 09시,0,19.4,131.9,940,44,158,790,매우강,대형,북서,17,null
2004년 10월 17일 09시,24,21.7,128.5,935,48,173,null,매우강,null,null,null,150
2004년 10월 17일 09시,48,25,126.8,935,48,173,null,매우강,null,null,null,280
2004년 10월 17일 09시,72,29.2,128.2,null,null,null,null,null,null,null,null,410
2004년 10월 18일 09시,0,21.4,128.6,945,41,148,740,강,대형,북서,20,null
2004년 10월 18일 09시,24,24.4,127,950,39,140,null,강,null,null,null,150
2004년 10월 18일 09시,48,28.6,129,955,37,133,null,강,null,null,null,250
2004년 10월 18일 09시,72,33.5,133.1,null,null,null,null,null,null,null,null,400
2004년 10월 19일 09시,0,24.7,127.2,950,41,148,740,강,대형,북,17,null
2004년 10월 19일 09시,24,30.6,130.1,960,39,140,null,강,null,null,null,150
2004년 10월 19일 09시,48,38.9,140.3,970,35,126,null,강,null,null,null,250
2004년 10월 19일 09시,72,47.5,153.5,null,null,null,null,null,null,null,null,400
2004년 10월 19일 21시,0,27.4,128.9,950,41,148,740,강,대형,북북동,30,null
2004년 10월 19일 21시,12,31,131,960,39,140,null,강,null,null,null,100
2004년 10월 19일 21시,24,34.2,134.9,965,36,130,null,강,null,null,null,150
2004년 10월 19일 21시,48,41.7,145.8,null,null,null,null,null,null,null,null,250
2004년 10월 20일 09시,0,31.1,132.1,950,41,148,700,강,대형,북동,45,null
2004년 10월 20일 09시,12,35.3,137.9,960,37,133,null,강,null,null,null,100
2004년 10월 20일 09시,24,38.9,144.5,980,29,104,null,중,null,null,null,180
2004년 10월 20일 09시,36,42.1,151.8,null,null,null,null,null,null,null,null,250
2004년 10월 20일 21시,0,35.6,136.8,980,30,108,700,중,대형,북동,70,null
2004년 10월 20일 21시,12,38.5,144,985,26,94,null,중,null,null,null,100
2004년 10월 20일 21시,24,41,150.5,null,null,null,null,null,null,null,null,180
2004년 10월 21일 09시,0,36,143,992,null,null,null,null,null,동,45,null
