老矫,,困档(N),版档(E),吝缴扁拘,檬加(m/s),矫加(km/h),碍浅馆版(km)[抗寇馆版],碍档,农扁,柳青规氢,捞悼加档(km/h),70% 犬伏 馆版(km)
2021斥 06岿 23老 09矫,0,16.3,140.8,1002,18,65,150,-,家屈,辑,7,null
2021斥 06岿 23老 09矫,12,16.8,139.6,1000,19,68,160,-,家屈,合合辑,12,60
2021斥 06岿 23老 09矫,24,17.9,138.9,996,20,72,170,-,家屈,合合辑,12,110
2021斥 06岿 23老 09矫,36,19,137.9,994,21,76,180,-,家屈,合辑,14,140
2021斥 06岿 23老 09矫,48,20.9,137.5,994,21,76,180,-,家屈,合,18,170
2021斥 06岿 23老 09矫,72,24.9,137.7,994,21,76,180,-,家屈,合,18,230
2021斥 06岿 23老 09矫,96,30.8,140.6,996,20,72,170,-,家屈,合合悼,30,310
2021斥 06岿 23老 09矫,120,37,146,1004,15,54,0,-,-,合悼,35,0
2021斥 06岿 23老 15矫,0,16.7,140.7,1000,19,68,160,-,家屈,合,15,null
2021斥 06岿 23老 15矫,12,17.3,139.2,996,20,72,170,-,家屈,辑合辑,14,60
2021斥 06岿 23老 15矫,24,18.7,138.4,994,21,76,180,-,家屈,合合辑,15,110
2021斥 06岿 23老 15矫,36,20.2,137.6,994,21,76,180,-,家屈,合合辑,15,140
2021斥 06岿 23老 15矫,48,21.8,137.4,992,23,83,190,-,家屈,合,15,170
2021斥 06岿 23老 15矫,72,26.2,137.6,992,23,83,190,-,家屈,合,20,230
2021斥 06岿 23老 15矫,96,31.8,141,994,21,76,180,-,家屈,合合悼,29,310
2021斥 06岿 23老 15矫,120,38.3,146.5,1004,15,54,0,-,-,合合悼,37,0
2021斥 06岿 23老 21矫,0,17.7,140.3,998,19,68,160,-,家屈,合,23,null
2021斥 06岿 23老 21矫,12,18.6,139.8,998,19,68,160,-,家屈,合合辑,9,60
2021斥 06岿 23老 21矫,24,19.8,139.2,994,21,76,170,-,家屈,合合辑,12,110
2021斥 06岿 23老 21矫,36,21.4,138.6,992,23,83,180,-,家屈,合合辑,16,140
2021斥 06岿 23老 21矫,48,23,138.4,990,24,86,180,-,家屈,合,15,170
2021斥 06岿 23老 21矫,72,27.5,139.2,985,27,97,190,吝,家屈,合,21,230
2021斥 06岿 23老 21矫,96,32.4,142.3,992,23,83,180,-,家屈,合合悼,26,310
2021斥 06岿 23老 21矫,120,39.6,150.2,1000,15,54,0,-,-,合悼,45,0
2021斥 06岿 24老 03矫,0,18.7,140.2,998,19,68,160,-,家屈,合合辑,16,null
